Rank,Name,Age,Net Worth,Country,Source,Industries
1,JEFF BEZOS,56,113,United States,Amazon,Technology
2,BILL GATES,64,98,United States,Microsoft,Technology
3,BERNARD ARNAULT & FAMILY,71,76,France,LVMH,Fashion & Retail
4,WARREN BUFFETT,89,67.5,United States,Berkshire Hathaway,Finance & Investments
5,LARRY ELLISON,75,59,United States,software,Technology
6,AMANCIO ORTEGA,84,55.1,Spain,Zara,Fashion & Retail
7,MARK ZUCKERBERG,35,54.7,United States,Facebook,Technology
8,JIM WALTON,71,54.6,United States,Walmart,Fashion & Retail
9,ALICE WALTON,70,54.4,United States,Walmart,Fashion & Retail
10,ROB WALTON,75,54.1,United States,Walmart,Fashion & Retail
11,STEVE BALLMER,64,52.7,United States,Microsoft,Technology
12,CARLOS SLIM HELU & FAMILY,80,52.1,Mexico,telecom,Telecom
13,LARRY PAGE,47,50.9,United States,Google,Technology
14,SERGEY BRIN,46,49.1,United States,Google,Technology
15,FRANCOISE BETTENCOURT MEYERS & FAMILY,66,48.9,France,L'Oreal,Fashion & Retail
16,MICHAEL BLOOMBERG,78,48,United States,Bloomberg LP,Media & Entertainment
17,JACK MA,55,38.8,China,e-commerce,Technology
18,JULIA KOCH & FAMILY,57,38.2,United States,Koch Industries,Diversified
18,CHARLES KOCH,84,38.2,United States,Koch Industries,Diversified
20,MA HUATENG,48,38.1,China,internet media,Technology
21,MUKESH AMBANI,62,36.8,India,"petrochemicals, oil & gas",Energy
22,MACKENZIE SCOTT,50,36,United States,Amazon.com,Technology
23,BEATE HEISTER & KARL ALBRECHT JR.,,33.3,Germany,supermarkets,Fashion & Retail
24,DAVID THOMSON & FAMILY,62,31.6,Canada,media,Media & Entertainment
25,PHIL KNIGHT & FAMILY,82,29.5,United States,Nike,Fashion & Retail
26,LEE SHAU KEE,92,28.1,Hong Kong,real estate,Real Estate
27,FRANÇOIS PINAULT & FAMILY,83,27,France,luxury goods,Fashion & Retail
28,SHELDON ADELSON,86,26.8,United States,casinos,Gambling & Casinos
29,JACQUELINE MARS,80,24.7,United States,"candy, pet food",Food & Beverage
29,JOHN MARS,84,24.7,United States,"candy, pet food",Food & Beverage
31,ELON MUSK,48,24.6,United States,"Tesla, SpaceX",Automotive
32,GIOVANNI FERRERO,55,24.5,Italy,"Nutella, chocolates",Food & Beverage
33,MICHAEL DELL,55,22.9,United States,Dell computers,Technology
34,HUI KA YAN,61,21.8,China,real estate,Real Estate
35,LI KA-SHING,91,21.7,Hong Kong,diversified,Diversified
36,HE XIANGJIAN,77,21.6,China,home appliances,Manufacturing
36,JIM SIMONS,81,21.6,United States,hedge funds,Finance & Investments
38,YANG HUIYAN & FAMILY,38,20.3,China,real estate,Real Estate
39,JOSEPH SAFRA,81,19.9,Brazil,banking,Finance & Investments
40,DIETER SCHWARZ,80,19.8,Germany,retail,Fashion & Retail
41,VLADIMIR POTANIN,59,19.7,Russia,metals,Metals & Mining
41,TADASHI YANAI & FAMILY,71,19.7,Japan,fashion retail,Fashion & Retail
43,QIN YINGLIN & FAMILY,54,18.5,China,pig breeding,Food & Beverage
44,LUKAS WALTON,33,18.4,United States,Walmart,Fashion & Retail
45,VLADIMIR LISIN,63,18.1,Russia,"steel, transport",Metals & Mining
46,RAY DALIO,70,18,United States,hedge funds,Finance & Investments
47,TAKEMITSU TAKIZAKI,74,17.4,Japan,sensors,Manufacturing
48,LEONID MIKHELSON,64,17.1,Russia,"gas, chemicals",Energy
48,GERARD WERTHEIMER,69,17.1,France,Chanel,Fashion & Retail
48,ALAIN WERTHEIMER,71,17.1,France,Chanel,Fashion & Retail
51,WILLIAM LEI DING,48,17,China,online games,Technology
51,LEN BLAVATNIK,62,17,United States,diversified,Diversified
51,"THEO ALBRECHT, JR. & FAMILY",69,17,Germany,"Aldi, Trader Joe's",Fashion & Retail
54,SUSANNE KLATTEN,57,16.8,Germany,"BMW, pharmaceuticals",Automotive
54,ALEXEY MORDASHOV & FAMILY,54,16.8,Russia,"steel, investments",Metals & Mining
56,MASAYOSHI SON,62,16.6,Japan,"internet, telecom",Telecom
57,COLIN ZHENG HUANG,40,16.5,China,e-commerce,Technology
57,DIETRICH MATESCHITZ,75,16.5,Austria,Red Bull,Food & Beverage
59,LAURENE POWELL JOBS & FAMILY,56,16.4,United States,"Apple, Disney",Technology
59,JOSEPH LAU,68,16.4,Hong Kong,real estate,Real Estate
61,ZHANG YIMING,36,16.2,China,software,Technology
62,LEONARDO DEL VECCHIO & FAMILY,84,16.1,Italy,eyeglasses,Fashion & Retail
63,DONALD BREN,87,15.5,United States,real estate,Real Estate
64,STEPHEN SCHWARZMAN,73,15.4,United States,investments,Finance & Investments
65,WANG WEI,50,15.2,China,package delivery,Service
65,VAGIT ALEKPEROV,69,15.2,Russia,oil,Energy
65,LEE MAN TAT,90,15.2,Hong Kong,food,Food & Beverage
68,PETR KELLNER,55,14.9,Czechia,"finance, telecommunications",Finance & Investments
